LexToken(PACKAGE,'package',1,0)
LexToken(MAIN,'main',1,8)
LexToken(IMPORT,'import',3,14)
LexToken(LPARENTESIS,'(',3,21)
LexToken(STRING,'"fmt"',4,27)
LexToken(RPARENTESIS,')',5,33)
LexToken(FUNC,'func',7,36)
LexToken(MAIN,'main',7,41)
LexToken(LPARENTESIS,'(',7,45)
LexToken(RPARENTESIS,')',7,46)
LexToken(LLLAVE,'{',7,48)
LexToken(VAR,'var',8,54)
LexToken(VARIABLE,'a',8,58)
LexToken(VARIABLE,'int',8,60)
LexToken(ASSIGN,'=',8,64)
LexToken(INT,10,8,66)
LexToken(VAR,'var',9,73)
LexToken(VARIABLE,'b',9,77)
LexToken(FLOAT64,'float64',9,79)
LexToken(ASSIGN,'=',9,87)
LexToken(FLOAT,20.5,9,89)
LexToken(VAR,'var',10,98)
LexToken(VARIABLE,'c',10,102)
LexToken(VARIABLE,'bool',10,104)
LexToken(ASSIGN,'=',10,109)
LexToken(BOOL,True,10,111)
LexToken(VAR,'var',11,120)
LexToken(VARIABLE,'name',11,124)
LexToken(VARIABLE,'string',11,129)
LexToken(ASSIGN,'=',11,136)
LexToken(STRING,'"LexerTest"',11,138)
LexToken(CONST,'const',12,154)
LexToken(VARIABLE,'d',12,160)
LexToken(VARIABLE,'int',12,162)
LexToken(ASSIGN,'=',12,166)
LexToken(INT,100,12,168)
LexToken(VARIABLE,'a',14,177)
LexToken(PLUSA,'+=',14,179)
LexToken(INT,5,14,182)
LexToken(VARIABLE,'b',15,188)
LexToken(MINUSA,'-=',15,190)
LexToken(FLOAT,2.5,15,193)
LexToken(VARIABLE,'a',16,201)
LexToken(TIMESA,'*=',16,203)
LexToken(INT,2,16,206)
LexToken(VARIABLE,'b',17,212)
LexToken(DIVA,'/=',17,214)
LexToken(FLOAT,2.0,17,217)
LexToken(VARIABLE,'a',18,225)
LexToken(MODA,'%=',18,227)
LexToken(INT,3,18,230)
LexToken(IF,'if',20,237)
LexToken(VARIABLE,'a',20,240)
LexToken(EQ,'==',20,242)
LexToken(INT,10,20,245)
LexToken(AND,'&&',20,248)
LexToken(VARIABLE,'b',20,251)
LexToken(GT,'>',20,253)
LexToken(FLOAT,10.0,20,255)
LexToken(OR,'||',20,260)
LexToken(NOT,'!',20,263)
LexToken(VARIABLE,'c',20,264)
LexToken(LLLAVE,'{',20,266)
LexToken(VARIABLE,'fmt',21,276)
LexToken(DOT,'.',21,279)
LexToken(PRINTLN,'Println',21,280)
LexToken(LPARENTESIS,'(',21,287)
LexToken(STRING,'"Operador lógico AND y OR"',21,288)
LexToken(RPARENTESIS,')',21,315)
LexToken(RLLAVE,'}',22,321)
LexToken(ELSE,'else',22,323)
LexToken(IF,'if',22,328)
LexToken(VARIABLE,'a',22,331)
LexToken(NEQ,'!=',22,333)
LexToken(INT,5,22,336)
LexToken(OR,'||',22,338)
LexToken(VARIABLE,'b',22,341)
LexToken(LTOEQ,'<=',22,343)
LexToken(FLOAT,15.5,22,346)
LexToken(LLLAVE,'{',22,351)
LexToken(VARIABLE,'fmt',23,361)
LexToken(DOT,'.',23,364)
LexToken(PRINTLN,'Println',23,365)
LexToken(LPARENTESIS,'(',23,372)
LexToken(STRING,'"Operador NOT y comparación"',23,373)
LexToken(RPARENTESIS,')',23,402)
LexToken(RLLAVE,'}',24,408)
LexToken(FOR,'for',26,415)
LexToken(VARIABLE,'i',26,419)
LexToken(DECLARE_ASSIGN,':=',26,421)
LexToken(INT,0,26,424)
LexToken(SEMICOLON,';',26,425)
LexToken(VARIABLE,'i',26,427)
LexToken(LT,'<',26,429)
LexToken(INT,5,26,431)
LexToken(SEMICOLON,';',26,432)
LexToken(VARIABLE,'i',26,434)
LexToken(PLUS,'+',26,435)
LexToken(PLUS,'+',26,436)
LexToken(LLLAVE,'{',26,438)
LexToken(VARIABLE,'fmt',27,448)
LexToken(DOT,'.',27,451)
LexToken(PRINTLN,'Println',27,452)
LexToken(LPARENTESIS,'(',27,459)
LexToken(VARIABLE,'i',27,460)
LexToken(RPARENTESIS,')',27,461)
LexToken(RLLAVE,'}',28,467)
LexToken(SWITCH,'switch',30,474)
LexToken(VARIABLE,'name',30,481)
LexToken(LLLAVE,'{',30,486)
LexToken(CASE,'case',31,492)
LexToken(STRING,'"LexerTest"',31,497)
LexToken(COLON,':',31,508)
LexToken(VARIABLE,'fmt',32,518)
LexToken(DOT,'.',32,521)
LexToken(PRINTLN,'Println',32,522)
LexToken(LPARENTESIS,'(',32,529)
LexToken(STRING,'"Nombre correcto"',32,530)
LexToken(RPARENTESIS,')',32,547)
LexToken(CASE,'case',33,553)
LexToken(STRING,'"Test"',33,558)
LexToken(COLON,':',33,564)
LexToken(VARIABLE,'fmt',34,574)
LexToken(DOT,'.',34,577)
LexToken(PRINTLN,'Println',34,578)
LexToken(LPARENTESIS,'(',34,585)
LexToken(STRING,'"Nombre alternativo"',34,586)
LexToken(RPARENTESIS,')',34,606)
LexToken(DEFAULT,'default',35,612)
LexToken(COLON,':',35,619)
LexToken(VARIABLE,'fmt',36,629)
LexToken(DOT,'.',36,632)
LexToken(PRINTLN,'Println',36,633)
LexToken(LPARENTESIS,'(',36,640)
LexToken(STRING,'"Nombre desconocido"',36,641)
LexToken(RPARENTESIS,')',36,661)
LexToken(RLLAVE,'}',37,667)
LexToken(VARIABLE,'c',39,674)
LexToken(ASSIGN,'=',39,676)
LexToken(BOOL,False,39,678)
LexToken(IF,'if',40,688)
LexToken(NOT,'!',40,691)
LexToken(VARIABLE,'c',40,692)
LexToken(AND,'&&',40,694)
LexToken(LPARENTESIS,'(',40,697)
LexToken(VARIABLE,'a',40,698)
LexToken(LT,'<',40,700)
LexToken(INT,10,40,702)
LexToken(OR,'||',40,705)
LexToken(VARIABLE,'b',40,708)
LexToken(GTOEQ,'>=',40,710)
LexToken(FLOAT,20.0,40,713)
LexToken(RPARENTESIS,')',40,717)
LexToken(LLLAVE,'{',40,719)
LexToken(VARIABLE,'fmt',41,729)
LexToken(DOT,'.',41,732)
LexToken(PRINTLN,'Println',41,733)
LexToken(LPARENTESIS,'(',41,740)
LexToken(STRING,'"Condición final"',41,741)
LexToken(RPARENTESIS,')',41,759)
LexToken(RLLAVE,'}',42,765)
LexToken(RLLAVE,'}',43,767)
